inout,type,aquifer,afyr
Recharge,Precip,Crystalline,3600
Recharge,Precip,Deadwood,14500
Recharge,Precip,Madison/Minnelusa,144900
Recharge,Precip,Minnekahta,6500
Recharge,Precip,Inyan Kara,11600
Recharge,Precip,Jurassic,2200
Recharge,Precip,Cretaceous,2200
Recharge,StreamRecharge,Crystalline,0
Recharge,StreamRecharge,Deadwood,0
Recharge,StreamRecharge,Madison/Minnelusa,66600
Recharge,StreamRecharge,Minnekahta,0
Recharge,StreamRecharge,Inyan Kara,0
Recharge,StreamRecharge,Jurassic,0
Recharge,StreamRecharge,Cretaceous,0
Discharge,Well/Springflow,Crystalline,3600
Discharge,Well/Springflow,Deadwood,10100
Discharge,Well/Springflow,Madison/Minnelusa,169500
Discharge,Well/Springflow,Minnekahta,700
Discharge,Well/Springflow,Inyan Kara,1400
Discharge,Well/Springflow,Jurassic,700
Discharge,Well/Springflow,Cretaceous,1400
Discharge,Outflow,Crystalline,0
Discharge,Outflow,Deadwood,4400
Discharge,Outflow,Madison/Minnelusa,41900
Discharge,Outflow,Minnekahta,5800
Discharge,Outflow,Inyan Kara,10200
Discharge,Outflow,Jurassic,1500
Discharge,Outflow,Cretaceous,800
